time_s,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,UA_corr_W_per_K
402.957,6.71595,6.234999999999999,-43.54,49.775,234.37094328908398,378.5092789865873,7.60440540404997
403.962,6.7326999999999995,6.225,-43.405,49.63,234.46367469288757,378.6020103903909,7.628491041515028
404.967,6.7494499999999995,6.265000000000001,-43.25,49.515,233.6017673968556,377.7401030943589,7.628801435814579
405.971,6.766183333333333,6.180000000000001,-43.18,49.36,234.98019374755148,379.1185294450548,7.680683335596734
406.977,6.78295,6.16,-43.275,49.435,236.18759849514453,380.3259341926478,7.693454722213974
407.982,6.7997000000000005,6.165000000000001,-43.580000000000005,49.745000000000005,239.38193172179126,383.52026741929456,7.709724945608493
408.986,6.816433333333333,6.15,-43.875,50.025,239.74059562080234,383.8789313183056,7.6737417554883685
409.992,6.833200000000001,6.130000000000001,-44.195,50.325,238.33589563319444,382.47423133069776,7.600084080093348
410.996,6.849933333333333,6.09,-44.46,50.55,239.63481962074874,383.77315531825207,7.591951638343266
412.001,6.866683333333333,6.1049999999999995,-44.754999999999995,50.85999999999999,236.6125373542907,380.750873051794,7.486253894058081
413.006,6.883433333333333,6.140000000000001,-45.035000000000004,51.175000000000004,233.41842411066884,377.55675980817216,7.37775788584606
414.011,6.900183333333334,6.135,-45.235,51.37,229.46779125044984,373.60612694795316,7.272846543662705
415.015,6.916916666666666,6.055,-45.459999999999994,51.51499999999999,228.69878014565884,372.8371158431621,7.23744765297801
416.021,6.933683333333334,6.105,-45.74,51.845,224.76188279402257,368.90021849152583,7.115444468927107
417.026,6.950433333333334,6.08,-45.925000000000004,52.005,220.14795090772716,364.28628660523043,7.004831970103459
418.031,6.967183333333334,6.08,-46.125,52.205,219.67151790686765,363.8098536043709,6.968869909096273
419.036,6.983933333333334,6.065,-46.335,52.4,218.98219834430063,363.1205340418039,6.929781184003891
420.04,7.000666666666667,6.035,-46.535000000000004,52.57000000000001,219.8305713127258,363.9689070102291,6.923509739589671
421.046,7.017433333333333,5.995,-46.695,52.69,217.5905315575488,361.7288672550521,6.865228074683092
422.05,7.034166666666667,6.010000000000001,-46.93,52.94,216.4235996796629,360.5619353771662,6.81076568525059
423.055,7.050916666666667,6.029999999999999,-47.01,53.04,218.92940599501654,363.0677416925198,6.845168583946452
424.06,7.067666666666667,5.985,-47.22,53.205,222.4154654491961,366.55380114669936,6.889461538327213
425.065,7.084416666666667,5.99,-47.395,53.385000000000005,217.6560023906047,361.794338088108,6.777078544312222
426.07,7.101166666666667,5.994999999999999,-47.59,53.585,216.35658721786015,360.4949229153634,6.727534252409507
427.075,7.117916666666667,5.99,-47.775000000000006,53.76500000000001,215.8398643051567,359.97820000266,6.695400353439226
428.08,7.134666666666666,5.93,-47.9,53.83,212.14069481566898,356.2790305131723,6.618596145516855
429.084,7.1514,5.9399999999999995,-47.879999999999995,53.81999999999999,214.79281044751414,358.93114614501746,6.66910342149791
