dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
mixed,589.4110000000001,654.724,9.823516666666668,12.88,11.067499999999999,1.8125000000000018,281.8446700981744,281.8446700981744,2348.7055841514534,155.50050764037192,1295.837563669766,1
mixed,590.506,655.819,9.841766666666667,12.86,10.9525,1.9074999999999989,279.6278959141524,279.6278959141524,2330.23246595127,146.59391659981787,1221.615971665149,1
mixed,591.602,656.915,9.860033333333332,12.91,11.0275,1.8825000000000003,284.58640928154756,284.58640928154756,2371.553410679563,151.17471940586853,1259.7893283822377,1
mixed,592.699,658.012,9.878316666666667,12.82,10.995000000000001,1.8249999999999993,281.8717335841659,281.8717335841659,2348.9311132013827,154.4502649776252,1287.0855414802102,1
mixed,593.794,659.107,9.896566666666667,12.83,10.972500000000002,1.8574999999999982,281.6221485954468,281.6221485954468,2346.85123829539,151.61353894775078,1263.4461578979233,1
mixed,594.89,660.203,9.914833333333332,12.76,10.932500000000001,1.8274999999999988,277.7694716548385,277.7694716548385,2314.7455971236545,151.99423893561627,1266.6186577968022,1
mixed,595.987,661.3,9.933116666666667,12.72,11.009999999999998,1.7100000000000026,277.7978843153184,277.7978843153184,2314.98236929432,162.4549031083731,1353.7908592364424,1
mixed,597.082,662.395,9.951366666666667,12.71,10.932500000000001,1.7774999999999999,273.7532753067364,273.7532753067364,2281.2772942228034,154.01028146651836,1283.4190122209864,1
mixed,598.178,663.491,9.969633333333332,12.71,11.015,1.6950000000000003,268.6259941617097,268.6259941617097,2238.5499513475806,158.48141248478444,1320.6784373732037,1
mixed,599.275,664.588,9.987916666666667,12.69,10.9175,1.772499999999999,268.2101133099861,268.2101133099861,2235.084277583218,151.3174123046467,1260.9784358720558,1
mixed,600.37,665.683,10.006166666666667,12.65,10.9625,1.6875,267.26877275840434,267.26877275840434,2227.239772986703,158.38149496794333,1319.8457913995278,1
mixed,601.466,666.779,10.024433333333333,12.63,11.015,1.6150000000000002,263.97140139490534,263.97140139490534,2199.761678290878,163.4497841454522,1362.0815345454353,1
mixed,602.563,667.876,10.042716666666667,12.6,11.075,1.5250000000000004,261.20034490380164,261.20034490380164,2176.669540865014,171.27891469101743,1427.324289091812,1
mixed,603.659,668.972,10.060983333333333,12.56,11.0525,1.5075000000000003,261.9215338361613,261.9215338361613,2182.6794486346776,173.7456277520141,1447.8802312667842,1
mixed,604.754,670.067,10.079233333333333,12.58,11.125,1.455,258.73499017554803,258.73499017554803,2156.124918129567,177.82473551584056,1481.8727959653381,1
mixed,605.85,671.163,10.0975,12.56,11.100000000000001,1.459999999999999,261.17310952262585,261.17310952262585,2176.4425793552155,178.88569145385344,1490.7140954487786,1
mixed,606.947,672.26,10.115783333333333,12.48,11.0625,1.4175000000000004,259.677661226814,259.677661226814,2163.98051022345,183.19411726759358,1526.6176438966133,1
mixed,608.042,673.355,10.134033333333333,12.5,11.08,1.42,261.5615505756503,261.5615505756503,2179.6795881304192,184.19827505327487,1534.9856254439574,1
mixed,609.138,674.451,10.1523,12.47,11.1125,1.3575,254.1348781788832,254.1348781788832,2117.7906514906936,187.20801339144253,1560.0667782620212,1
mixed,610.235,675.548,10.170583333333333,12.49,11.125,1.3650000000000002,249.8407188200792,249.8407188200792,2082.0059901673267,183.03349364108362,1525.2791136756969,1
mixed,611.33,676.643,10.188833333333333,12.54,11.002500000000001,1.5374999999999979,244.63214100122804,244.63214100122804,2038.6011750102336,159.11033561055504,1325.919463421292,1
mixed,612.426,677.739,10.2071,12.5,10.98,1.5199999999999996,241.4171252190237,241.4171252190237,2011.8093768251974,158.82705606514722,1323.5588005428936,1
mixed,613.523,678.836,10.225383333333333,12.43,10.892500000000002,1.5374999999999979,242.4704773501484,242.4704773501484,2020.5873112512368,157.70437551229185,1314.2031292690988,1
mixed,614.618,679.931,10.243633333333333,12.44,10.8275,1.612499999999999,232.99488988282607,232.99488988282607,1941.624082356884,144.49295496609378,1204.1079580507815,1
mixed,615.714,681.027,10.2619,12.41,10.8725,1.5374999999999996,232.3568262026901,232.3568262026901,1936.3068850224174,151.12639102613994,1259.3865918844995,1
mixed,616.811,682.124,10.280183333333333,12.48,10.8175,1.6624999999999996,229.72440030187767,229.72440030187767,1914.3700025156472,138.1800904071445,1151.5007533928708,1
mixed,617.9060000000001,683.219,10.298433333333334,12.41,10.75,1.6600000000000001,231.3596355769082,231.3596355769082,1927.9969631409017,139.3732744439206,1161.4439536993384,1
mixed,619.0020000000001,684.315,10.3167,12.45,10.620000000000001,1.8299999999999983,233.93623386360528,233.93623386360528,1949.4686155300442,127.83400757574071,1065.283396464506,1
mixed,620.099,685.412,10.334983333333334,12.48,10.592500000000001,1.8874999999999993,233.57584858594785,233.57584858594785,1946.4654048828988,123.7487939528201,1031.2399496068342,1
mixed,621.195,686.508,10.353250000000001,12.43,10.4675,1.9625000000000004,233.6872069127266,233.6872069127266,1947.3933909393884,119.07628377718551,992.3023648098792,1
mixed,622.29,687.603,10.3715,12.37,10.4225,1.9474999999999998,234.21347775883947,234.21347775883947,1951.7789813236623,120.26365995319101,1002.1971662765918,1
mixed,623.386,688.699,10.389766666666667,12.38,10.24,2.1400000000000006,237.98164840899216,237.98164840899216,1983.1804034082681,111.20637776121126,926.7198146767605,1
mixed,624.4830000000001,689.796,10.408050000000001,12.37,10.182500000000001,2.1874999999999982,239.36763026643206,239.36763026643206,1994.7302522202672,109.42520240751189,911.8766867292658,1
mixed,625.578,690.891,10.4263,12.36,10.0775,2.282499999999999,242.41523566804938,242.41523566804938,2020.1269639004115,106.20601781732726,885.0501484777272,1
mixed,626.674,691.987,10.444566666666667,12.34,10.139999999999999,2.200000000000001,243.27303276660115,243.27303276660115,2027.2752730550096,110.57865125754593,921.4887604795495,1
mixed,627.771,693.084,10.46285,12.27,10.07,2.1999999999999993,252.0014298947535,252.0014298947535,2100.0119157896124,114.54610449761526,954.5508708134605,1
mixed,628.866,694.179,10.4811,12.33,10.1075,2.2225,259.59176627408056,259.59176627408056,2163.2647189506715,116.8016946115098,973.347455095915,1
mixed,629.962,695.275,10.499366666666667,12.22,10.1425,2.0775000000000006,272.65342613535074,272.65342613535074,2272.111884461256,131.24111968007253,1093.6759973339379,1
mixed,631.059,696.372,10.51765,12.28,10.1075,2.1724999999999994,285.45695650918077,285.45695650918077,2378.8079709098397,131.39560713886345,1094.9633928238623,1
mixed,632.154,697.467,10.5359,12.22,10.0475,2.172500000000001,298.26274411647887,298.26274411647887,2485.522867637324,137.29010085913865,1144.0841738261554,1
mixed,633.25,698.563,10.554166666666667,12.2,10.075,2.125,304.5154042053559,304.5154042053559,2537.6283683779657,143.30136668487336,1194.178055707278,1
mixed,634.347,699.66,10.57245,12.2,10.1475,2.0524999999999984,310.38152247284415,310.38152247284415,2586.5126872737014,151.22120461527132,1260.1767051272611,1
mixed,635.442,700.755,10.5907,12.11,10.0625,2.0474999999999994,315.5999055231146,315.5999055231146,2629.9992126926218,154.1391479966372,1284.4928999719768,1
mixed,636.538,701.851,10.608966666666667,12.21,10.08,2.130000000000001,325.14343920255436,325.14343920255436,2709.5286600212867,152.64950197303017,1272.0791831085849,1
