time_s,temp0_C,U1_bottom_C,U2_coilTop_C,U3_top_C,U4_coilMid_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,Strat_top_minus_bottom_C,dTbulk_dt_C_per_s,P_bath_W,P_HX_W,UA_corr_W_per_K
141.679,,8.22,-19.8,10.48,3.17,,,,,,1,O,2.3613166666666667,9.350000000000001,-8.315000000000001,17.665000000000003,2.26,-0.015485885488156565,313.1710622269903,457.30939792449357,25.887879871185593
142.685,,8.2,-19.99,10.45,3.21,,,,,,1,O,2.3780833333333335,9.325,-8.389999999999999,17.714999999999996,2.25,-0.014981798635398853,302.97691380367104,447.11524950117433,25.23935927186985
143.689,,8.2,-20.15,10.45,3.13,,,,,,1,O,2.3948166666666664,9.325,-8.51,17.835,2.25,-0.0144389981491112,291.99985956947586,436.13819526697915,24.45406197179586
144.694,,8.16,-20.35,10.45,3.15,,,,,,1,O,2.4115666666666664,9.305,-8.600000000000001,17.905,2.289999999999999,-0.013911947179850259,281.34130781811183,425.4796435156151,23.763174728601793
145.699,,8.2,-20.53,10.48,3.02,,,,,,1,O,2.428316666666667,9.34,-8.755,18.095,2.280000000000001,-0.013655562728522756,276.1564450589157,420.294780756419,23.227122451308045
146.704,,8.09,-20.77,10.39,3.02,,,,,,1,O,2.445066666666667,9.24,-8.875,18.115000000000002,2.3000000000000007,-0.013324511884085469,269.4616038318605,413.5999395293638,22.83190392102477
147.708,,8.12,-21.06,10.5,3.02,,,,,,1,O,2.4617999999999998,9.309999999999999,-9.02,18.33,2.380000000000001,-0.012935112946850269,261.58678912415303,405.7251248216563,22.134485805873233
148.714,,8.18,-21.33,10.46,2.94,,,,,,1,O,2.4785666666666666,9.32,-9.194999999999999,18.515,2.280000000000001,-0.012712213907119517,257.079101843678,401.2174375411813,21.66985890041487
149.719,,8.18,-21.57,10.52,3.02,,,,,,1,O,2.4953166666666666,9.35,-9.275,18.625,2.34,-0.012486031208260756,252.5050091246573,396.6433448221606,21.296286970317347
150.723,,8.18,-21.94,10.43,2.91,,,,,,1,O,2.5120500000000003,9.305,-9.515,18.82,2.25,-0.012270399117072657,248.14428134456037,392.28261704206363,20.843922265784464
151.729,,8.09,-22.19,10.52,2.91,,,,,,1,O,2.5288166666666667,9.305,-9.64,18.945,2.4299999999999997,-0.012326744868388202,249.28376147341467,393.42209717091794,20.766539834833356
152.733,,7.96,-22.48,10.45,2.91,,,,,,1,O,2.54555,9.205,-9.785,18.990000000000002,2.4899999999999993,-0.012317596241112477,249.0987487840177,393.237084481521,20.707587387125905
153.739,,8.02,-22.82,10.5,2.9,,,,,,1,O,2.562316666666667,9.26,-9.96,19.22,2.4800000000000004,-0.012202244229564365,246.7659850544802,390.9043207519835,20.33841419105013
154.743,,8.02,-23.08,10.41,2.87,,,,,,1,O,2.57905,9.215,-10.104999999999999,19.32,2.3900000000000006,-0.011980003885738834,242.27161858129648,386.4099542787998,20.000515231821936
155.748,,8.01,-23.47,10.44,2.78,,,,,,1,O,2.5957999999999997,9.225,-10.344999999999999,19.57,2.4299999999999997,-0.0120350781852255,243.38538613981532,387.5237218373186,19.801927533843568
156.753,,7.88,-23.7,10.45,2.88,,,,,,1,O,2.6125499999999997,9.165,-10.41,19.575,2.5699999999999994,-0.012091423488497358,244.5248572078821,388.66319290538536,19.855080097337694
157.758,,7.91,-24.02,10.46,2.9,,,,,,1,O,2.6293,9.185,-10.56,19.745,2.5500000000000007,-0.012166808534384888,246.04936899086564,390.18770468836897,19.761342349372953
158.763,,7.87,-24.41,10.48,2.87,,,,,,1,O,2.6460500000000002,9.175,-10.77,19.945,2.6100000000000003,-0.012071091776438626,244.1136889949184,388.2520246924217,19.466133100647866
159.768,,7.76,-24.77,10.5,2.87,,,,,,1,O,2.6628,9.129999999999999,-10.95,20.08,2.74,-0.011993102205048997,242.53650589270592,386.6748415902092,19.256715218635918
160.773,,7.77,-25.03,10.48,2.87,,,,,,1,O,2.67955,9.125,-11.08,20.205,2.710000000000001,-0.012007503480503527,242.82774288622286,386.96607858372613,19.151995970488798
161.777,,7.73,-25.37,10.41,2.89,,,,,,1,O,2.696283333333333,9.07,-11.24,20.310000000000002,2.6799999999999997,-0.012042949017433283,243.54455797955333,387.68289367705665,19.08827639965813
162.783,,7.74,-25.73,10.43,2.88,,,,,,1,O,2.71305,9.085,-11.425,20.51,2.6899999999999995,-0.011922331890309067,241.1053178177203,385.2436535152236,18.783210800352197
163.787,,7.77,-25.95,10.44,2.89,,,,,,1,O,2.7297833333333332,9.105,-11.53,20.634999999999998,2.67,-0.01190987536425317,240.8534094912919,384.9917451887952,18.6572205083012
