time_s,TMI_C,pump_cmd_pct,pump_freq_hz,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_error_bar,source_log,t_min,delta_p_bar,delta_p_full_error_bar,tmi_error_C
4130.217,-77.4,40.0,28.14,2.076,2.73,0.05,log_20260424_153546.csv,68.83694999999999,0.6539999999999999,0.1,1.0
4132.31,-77.54,40.0,28.14,2.329,2.926,0.05,log_20260424_153546.csv,68.87183333333334,0.597,0.1,1.0
4134.401,-77.52,40.0,28.14,2.144,2.858,0.05,log_20260424_153546.csv,68.90668333333333,0.714,0.1,1.0
4136.493,-77.27,40.0,28.14,2.3,2.848,0.05,log_20260424_153546.csv,68.94155,0.548,0.1,1.0
4138.585,-77.32,40.0,28.14,2.056,2.848,0.05,log_20260424_153546.csv,68.97641666666667,0.7919999999999998,0.1,1.0
4140.676,-77.56,40.0,28.14,2.164,2.759,0.05,log_20260424_153546.csv,69.01126666666667,0.5949999999999998,0.1,1.0
4142.768,-77.24,40.0,28.14,2.125,2.946,0.05,log_20260424_153546.csv,69.04613333333333,0.8210000000000002,0.1,1.0
4144.859,-77.27,40.0,28.14,2.115,2.681,0.05,log_20260424_153546.csv,69.08098333333334,0.5659999999999998,0.1,1.0
4146.951,-77.38,40.0,28.14,2.251,2.907,0.05,log_20260424_153546.csv,69.11585,0.6560000000000001,0.1,1.0
4149.043,-77.38,40.0,28.14,2.125,2.73,0.05,log_20260424_153546.csv,69.15071666666667,0.605,0.1,1.0
4151.134,-77.32,40.0,28.14,2.32,2.936,0.05,log_20260424_153546.csv,69.18556666666667,0.6160000000000001,0.1,1.0
